,predictions,actual,difference,Area,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
2502,5615963.3,5800000,184036.7,695,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0
2634,9307250.0,7600000,1707250.0,1053,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1
629,5620000.0,6000000,380000.0,810,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
3313,5936950.0,6000000,63050.0,693,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1
4230,7493350.0,7745999,252649.0,629,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5643,8594583.3,8355000,239583.3,1055,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
4585,8982950.0,8994000,11050.0,630,2,1,1,1,0,0,1,1,1,1,1,0,0,1,1
4190,5580400.0,5499000,81400.0,650,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4220,10800000.0,10500000,300000.0,505,2,1,1,1,0,0,0,1,1,0,0,1,0,1,1
6139,6700000.0,7600000,900000.0,455,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
4763,8102450.0,7500000,602450.0,975,2,0,0,1,1,0,1,0,0,0,0,0,0,1,0
3050,9147450.0,7950000,1197450.0,1060,2,1,1,1,0,0,0,1,0,1,0,0,1,0,0
4237,5435600.0,4500000,935600.0,650,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
733,5620000.0,4800000,820000.0,661,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
5898,6150850.0,6190000,39150.0,756,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
2904,5855000.0,5700000,155000.0,710,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
2246,8313749.8,8338000,24250.2,981,2,1,1,1,0,0,0,1,1,1,0,1,0,1,1
3628,7904049.6,7500000,404049.6,950,2,0,1,1,1,1,1,1,1,1,0,1,1,1,1
2479,8380700.0,7500000,880700.0,950,2,0,1,1,1,0,1,1,1,1,1,0,1,0,1
4211,10666100.0,11000000,333900.0,532,2,1,1,1,0,0,0,1,1,0,0,1,0,1,1
2095,7496099.9,6559999,936100.9,965,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1
3262,7633233.3,6800000,833233.3,710,2,0,1,1,1,0,1,1,0,0,1,0,0,1,1
3623,5922975.0,5500000,422975.0,650,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0
3270,8334483.2,8200000,134483.2,1015,2,0,1,1,1,0,1,1,1,1,0,0,0,1,1
625,7049700.0,7300000,250300.0,450,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0
3907,6318816.7,5099000,1219816.7,384,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
1095,8539375.0,8000000,539375.0,972,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1
3088,7820000.0,7900000,80000.0,1020,2,1,0,1,0,0,0,1,0,1,0,0,1,0,0
3074,10933500.0,10800000,133500.0,1200,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1
2097,8325259.4,7940000,385259.4,965,2,1,1,1,1,0,1,1,1,1,1,0,0,1,1
4203,5772900.0,4850000,922900.0,700,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0
4147,9234120.8,9700000,465879.2,1098,2,1,1,1,0,0,0,1,0,0,0,0,0,0,1
6144,5636050.0,6500000,863950.0,693,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
5505,4500000.0,3100000,1400000.0,375,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1977,6060517.3,5100000,960517.3,675,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1
636,7139150.0,6400000,739150.0,1180,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0
3057,8118000.0,8600000,482000.0,965,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0
5221,4976666.7,5800000,823333.3,540,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
6341,7735000.0,7000000,735000.0,1020,2,1,1,1,0,0,0,1,1,1,0,0,1,0,0
