,predictions,actual,difference,Area,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
125,16954000.0,15000000,1954000.0,1780,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
4388,9932500.0,12000000,2067500.0,1200,2,0,1,1,1,0,1,1,1,1,1,0,1,1,1
1281,16615000.0,15500000,1115000.0,2000,3,1,1,1,1,0,1,1,1,0,1,1,0,1,1
52,17660000.0,22500000,4840000.0,1850,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
1576,16535000.0,22000000,5465000.0,2000,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1
4243,8314850.0,10000000,1685150.0,1055,2,0,1,1,1,0,1,1,1,1,0,0,1,1,1
3502,16392500.0,17500000,1107500.0,1600,3,0,1,1,0,0,0,1,0,1,0,0,0,0,1
6007,13920000.0,12000000,1920000.0,1375,3,0,1,1,1,0,1,1,1,1,0,0,0,1,1
1762,14550000.0,15000000,450000.0,1300,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0
117,11782500.0,8500000,3282500.0,1150,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1
913,11619999.8,10100000,1519999.8,1580,3,0,1,1,1,1,1,1,0,1,1,0,0,1,0
911,12181666.7,11000000,1181666.7,1255,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
179,13025000.0,13000000,25000.0,1550,3,0,1,1,1,1,1,1,1,1,0,0,0,0,1
3342,4747333.3,6500000,1752666.7,685,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
168,8519583.3,9500000,980416.7,1000,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1
71,12275000.0,12000000,275000.0,1415,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
236,2685000.0,2300000,385000.0,310,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
409,8085000.0,6000000,2085000.0,850,2,0,1,1,1,1,1,0,1,0,0,0,0,1,1
2326,12215000.0,14000000,1785000.0,1150,2,0,1,1,1,0,1,1,1,1,1,1,0,1,1
1766,4898333.3,5000000,101666.7,650,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
34,12310000.0,10500000,1810000.0,1240,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
845,5611666.7,6500000,888333.3,675,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
0,6334583.3,4850000,1484583.3,720,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
167,10170000.0,13000000,2830000.0,1210,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0
153,16020000.0,16500000,480000.0,1585,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
832,13325000.0,13000000,325000.0,1300,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0
1375,9962500.0,9350000,612500.0,1195,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1
840,10515000.0,11100000,585000.0,1117,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0
3,5126666.7,4500000,626666.7,650,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
3396,7383333.3,7000000,383333.3,950,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8381250.0,8700000,318750.0,980,2,0,1,1,1,1,1,0,1,1,0,1,0,1,1
701,10320000.0,9500000,820000.0,1210,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1
178,8959950.0,7500000,1459950.0,1100,2,0,0,1,1,1,1,0,0,1,0,0,0,1,1
3484,10920000.0,9500000,1420000.0,1200,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0
2055,5386666.7,5500000,113333.3,649,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0
2048,5896666.7,7000000,1103333.3,735,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
406,3955000.0,2850000,1105000.0,305,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0
3346,14544999.9,13500000,1044999.9,1370,3,0,1,1,0,0,0,1,1,1,0,0,0,0,1
2068,15181666.7,13500000,1681666.7,1677,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4246,12629999.8,12500000,129999.8,1240,2,1,1,1,0,0,0,1,1,1,0,0,1,0,1
163,14070000.0,13000000,1070000.0,1630,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0
1750,5611666.7,6000000,388333.3,675,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
75,13845000.0,13000000,845000.0,1395,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
45,5704000.0,5500000,204000.0,670,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1
1741,8063333.3,8000000,63333.3,1000,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0
700,15607500.0,17000000,1392500.0,1810,3,1,1,1,1,0,1,1,1,1,1,1,0,1,1
350,11231666.7,11500000,268333.3,1250,2,0,1,1,1,0,1,1,1,0,1,0,1,1,1
141,6050000.0,6000000,50000.0,759,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
43,4947500.0,4200000,747500.0,646,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
4490,6023333.3,4900000,1123333.3,690,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3433,8930950.0,9300000,369050.0,1100,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0
2047,6218583.3,6500000,281416.7,735,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1
3395,4815870.1,4700000,115870.1,625,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,4897500.0,6200000,1302500.0,650,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
73,13775666.7,13000000,775666.7,1800,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
838,6000000.0,5300000,700000.0,560,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
842,5611666.7,6000000,388333.3,675,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
1760,5315000.0,5500000,185000.0,640,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
2042,4525000.0,4500000,25000.0,600,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
4488,12790000.0,12000000,790000.0,1400,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5514,9643950.0,11500000,1856050.0,1100,2,0,1,1,0,0,0,1,1,1,1,0,1,0,1
1340,10102500.0,13000000,2897500.0,1185,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
68,6050000.0,6000000,50000.0,765,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
1721,3935000.0,3900000,35000.0,380,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1
4390,4620000.0,5800000,1180000.0,650,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0
1743,15950000.0,14500000,1450000.0,1655,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0
113,16950000.0,22000000,5050000.0,1590,3,0,1,1,1,1,1,1,1,1,0,1,0,1,1
36,7980000.0,7500000,480000.0,1050,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0
1725,6961666.7,8400000,1438333.3,776,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1
3302,8994166.7,8200000,794166.7,1015,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3324,6100000.0,5600000,500000.0,620,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1
130,4815000.0,5100000,285000.0,700,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0
1111,4955000.0,6000000,1045000.0,700,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
138,15525000.0,14000000,1525000.0,1550,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
6,12139999.7,12500000,360000.3,1550,3,0,0,1,1,1,1,0,0,1,1,0,1,0,0
65,10690000.0,9400000,1290000.0,1200,2,0,1,1,1,1,1,1,1,0,1,0,0,1,1
